product_id,product_gid,status,en_title,nl_title,en_handle,nl_handle_translation,nl_handle_effective,mismatch,en_url,nl_url,admin_url
10711461200199,gid://shopify/Product/10711461200199,ACTIVE,Lindemann Octane Boost Street 400ml,Lindemann Octane Boost Street 400ml,lindemann-octane-boost-street,,lindemann-octane-boost-street,no,https://dpp-shop.com/products/lindemann-octane-boost-street,https://dpp-shop.com/nl/products/lindemann-octane-boost-street,https://dutch-performance-products.myshopify.com/admin/products/10711461200199
10711304929607,gid://shopify/Product/10711304929607,ACTIVE,Lindemann Oil Stop Leak 300ml,Lindemann Oil Stop Leak 300ml,lindemann-oil-stop-leak,,lindemann-oil-stop-leak,no,https://dpp-shop.com/products/lindemann-oil-stop-leak,https://dpp-shop.com/nl/products/lindemann-oil-stop-leak,https://dutch-performance-products.myshopify.com/admin/products/10711304929607
10711304798535,gid://shopify/Product/10711304798535,ACTIVE,Lindemann Oil System Cleaner 400ml,Lindemann Oil System Cleaner 400ml,lindemann-oil-system-cleaner,,lindemann-oil-system-cleaner,no,https://dpp-shop.com/products/lindemann-oil-system-cleaner,https://dpp-shop.com/nl/products/lindemann-oil-system-cleaner,https://dutch-performance-products.myshopify.com/admin/products/10711304798535
10711304995143,gid://shopify/Product/10711304995143,ACTIVE,Lindemann Power Steering Treatment 300ml,Lindemann Power Steering Treatment 300ml,lindemann-power-steering-treatment,,lindemann-power-steering-treatment,no,https://dpp-shop.com/products/lindemann-power-steering-treatment,https://dpp-shop.com/nl/products/lindemann-power-steering-treatment,https://dutch-performance-products.myshopify.com/admin/products/10711304995143
10711305421127,gid://shopify/Product/10711305421127,ACTIVE,Lindemann PTFE Universal Spray 300ML,Lindemann PTFE Universal Spray 300ML,lindemann-ptfe-universal-spray,,lindemann-ptfe-universal-spray,no,https://dpp-shop.com/products/lindemann-ptfe-universal-spray,https://dpp-shop.com/nl/products/lindemann-ptfe-universal-spray,https://dutch-performance-products.myshopify.com/admin/products/10711305421127
10711261151559,gid://shopify/Product/10711261151559,ACTIVE,Lindemann Quick Start 300ML,Lindemann Quick Start 300ML,lindemann-quick-start-300ml,,lindemann-quick-start-300ml,no,https://dpp-shop.com/products/lindemann-quick-start-300ml,https://dpp-shop.com/nl/products/lindemann-quick-start-300ml,https://dutch-performance-products.myshopify.com/admin/products/10711261151559
10711305027911,gid://shopify/Product/10711305027911,ACTIVE,Lindemann Radiator Flush 350ml,Lindemann Radiator Flush 350ml,lindemann-radiator-block-flush,,lindemann-radiator-block-flush,no,https://dpp-shop.com/products/lindemann-radiator-block-flush,https://dpp-shop.com/nl/products/lindemann-radiator-block-flush,https://dutch-performance-products.myshopify.com/admin/products/10711305027911
10711304962375,gid://shopify/Product/10711304962375,ACTIVE,Lindemann Radiator Stop Leak 350ml,Lindemann Radiator Stop Leak 350ml,lindemann-radiator-block-stop-leak,,lindemann-radiator-block-stop-leak,no,https://dpp-shop.com/products/lindemann-radiator-block-stop-leak,https://dpp-shop.com/nl/products/lindemann-radiator-block-stop-leak,https://dutch-performance-products.myshopify.com/admin/products/10711304962375
10711305486663,gid://shopify/Product/10711305486663,ACTIVE,Lindemann Red-G Multi-Purpose Grease 400gr,Lindemann Red-G Multi-Purpose Grease 400gr,lindemann-red-g-multi-purpose-grease,,lindemann-red-g-multi-purpose-grease,no,https://dpp-shop.com/products/lindemann-red-g-multi-purpose-grease,https://dpp-shop.com/nl/products/lindemann-red-g-multi-purpose-grease,https://dutch-performance-products.myshopify.com/admin/products/10711305486663
10711550198087,gid://shopify/Product/10711550198087,ACTIVE,Lindemann Service Cleaner Benzine,Lindemann Service Cleaner Benzine 400ml,lindemann-service-cleaner-benzine,,lindemann-service-cleaner-benzine,no,https://dpp-shop.com/products/lindemann-service-cleaner-benzine,https://dpp-shop.com/nl/products/lindemann-service-cleaner-benzine,https://dutch-performance-products.myshopify.com/admin/products/10711550198087
